day,cbg,susceptible,infectious,recovered
1,121150006012,1008,1,0
1,120559607001,783,1,0
1,120810007052,3247,1,0
1,121150016022,1451,1,0
1,120810020122,2017,1,0
1,120810004053,482,1,0
1,121150004013,1658,1,0
1,121150012032,1424,1,0
1,121150012011,2930,1,0
1,120810009024,1336,1,0
1,320030067001,435,1,0
1,320310003001,832,1,0
1,320310029021,979,1,0
1,320310009001,1738,1,0
1,291892208032,2159,1,0
1,320299702002,2051,1,0
1,60014415031,6274,1,0
1,60170302002,957,1,0
1,320310024082,1368,1,0
1,490351135101,1412,1,0
2,171978826012,1400,1,0
2,291892215022,3304,1,0
3,120710702002,732,1,0
3,120810020133,10376,1,0
3,120810008081,1819,1,0
3,320310022101,3430,1,0
3,40132168162,2074,1,0
3,320310010092,966,1,0
3,171978809011,3885,1,0
3,291892177013,1478,1,0
4,120810020151,8047,1,0
4,120710504002,3540,1,0
4,121150012041,1388,1,0
4,120810008053,3897,1,0
4,121150006012,1007,2,0
4,320310031066,922,1,0
4,60610201042,297,1,0
4,390759764004,2267,1,0
4,40132168162,2073,2,0
5,121150027133,5658,1,0
5,121150011012,1743,1,0
5,291833111461,1299,1,0
5,60450110024,587,1,0
5,170315701001,1279,1,0
6,120810006041,1697,1,0
6,120710105021,397,1,0
6,170978616032,3244,1,0
6,60190055223,3523,1,0
6,60610220131,632,1,0
6,120710101052,2068,1,0
6,120810020151,8046,2,0
6,60816103032,1631,1,0
6,170313514001,1840,1,0
6,390250407013,2852,1,0
6,121150027181,5746,1,0
6,320310007004,1056,1,0
7,121150027182,3183,1,0
7,121150006012,1007,1,1
7,120559607001,783,0,1
7,120810007052,3247,0,1
7,121150016022,1451,0,1
7,120810020122,2017,0,1
7,120810004053,482,0,1
7,121150004013,1658,0,1
7,121150012032,1424,0,1
7,121150012011,2930,0,1
7,120810009024,1336,0,1
7,320030067001,435,0,1
7,320310003001,832,0,1
7,320310029021,979,0,1
7,320310009001,1738,0,1
7,291892208032,2159,0,1
7,320299702002,2051,0,1
7,60014415031,6274,0,1
7,60133400012,2314,1,0
7,60170302002,957,0,1
7,320310024082,1368,0,1
7,490111263042,2350,1,0
7,490351135101,1412,0,1
7,121150016011,1598,1,0
7,60590992252,1590,1,0
7,121150020091,6091,1,0
7,120210102123,3533,1,0
7,121150021002,2423,1,0
7,120810007043,2596,1,0
7,530330097013,1339,1,0
7,60816114003,1279,1,0
7,390170102033,1626,1,0
7,360130353001,1151,1,0
8,171978826012,1400,0,1
8,291892215022,3304,0,1
8,121050116042,2023,1,0
8,40136115002,3170,1,0
8,121150021002,2422,2,0
8,170312909003,829,1,0
8,320310021032,1361,1,0
8,160550011001,2396,1,0
8,530330303124,1579,1,0
9,120710702002,732,0,1
9,120810020133,10376,0,1
9,120810008081,1819,0,1
9,320310022101,3430,0,1
9,40132168162,2073,1,1
9,320310010092,966,0,1
9,171978809011,3885,0,1
9,291892177013,1478,0,1
9,120810020151,8045,3,0
9,120810008091,2870,1,0
9,60770014003,933,1,0
9,60610222002,141,1,0
9,371190056213,1117,1,0
9,320199602021,1018,1,0
9,121150009001,1710,1,0
9,120810009022,1537,1,0
9,320310007004,1055,2,0
10,120810020151,8045,2,1
10,120710504002,3540,0,1
10,121150012041,1388,0,1
10,120810008053,3897,0,1
10,121150006012,1007,0,2
10,320310031066,922,0,1
10,60610201042,297,0,1
