Day, CBG(from), id(from), CBG(to), id(to)
1, 000000000000, -1, 121150006012, 1
1, 000000000000, -1, 120559607001, 1
1, 000000000000, -1, 120810007052, 1
1, 000000000000, -1, 121150016022, 1
1, 000000000000, -1, 120810020122, 1
1, 000000000000, -1, 120810004053, 1
1, 000000000000, -1, 121150004013, 1
1, 000000000000, -1, 121150012032, 1
1, 000000000000, -1, 121150012011, 1
1, 000000000000, -1, 120810009024, 1
1, 000000000000, -1, 320030067001, 1
1, 000000000000, -1, 320310003001, 1
1, 000000000000, -1, 320310029021, 1
1, 000000000000, -1, 320310009001, 1
1, 000000000000, -1, 291892208032, 1
1, 000000000000, -1, 320299702002, 1
1, 000000000000, -1, 060014415031, 1
1, 000000000000, -1, 060170302002, 1
1, 000000000000, -1, 320310024082, 1
1, 000000000000, -1, 490351135101, 1
2, 120810007052, 1, 171978826012, 1
2, 291892208032, 1, 291892215022, 1
3, 120559607001, 1, 120710702002, 1
3, 120810007052, 1, 120810020133, 1
3, 120810009024, 1, 120810008081, 1
3, 320299702002, 1, 320310022101, 1
3, 060014415031, 1, 040132168162, 1
3, 320310024082, 1, 320310010092, 1
3, 171978826012, 1, 171978809011, 1
3, 291892215022, 1, 291892177013, 1
4, 121150016022, 1, 120810020151, 1
4, 120810020122, 1, 120710504002, 1
4, 121150004013, 1, 121150012041, 1
4, 121150012032, 1, 120810008053, 1
4, 120810009024, 1, 121150006012, 2
4, 320310003001, 1, 320310031066, 1
4, 320310009001, 1, 060610201042, 1
4, 060170302002, 1, 390759764004, 1
4, 040132168162, 1, 040132168162, 2
5, 121150006012, 1, 121150027133, 1
5, 121150012011, 1, 121150011012, 1
5, 291892208032, 1, 291833111461, 1
5, 320310010092, 1, 060450110024, 1
5, 171978809011, 1, 170315701001, 1
6, 121150006012, 1, 120810006041, 1
6, 120559607001, 1, 120710105021, 1
6, 320030067001, 1, 170978616032, 1
6, 060170302002, 1, 060190055223, 1
