GeoId,Population
010010201001,730
010010201002,1263
010010202001,835
010010202002,1124
010010203001,2774
010010203002,733
010010204001,761
010010204002,1756
010010204003,866
010010204004,495
010010205001,1972
010010205002,6015
010010205003,2609
010010206001,2550
010010206002,1118
010010207001,2088
010010207002,1498
010010208011,860
010010208012,2336
010010208021,3158
010010208022,3804
010010208023,1581
010010208024,2599
010010209001,1296
010010209002,1093
010010209003,1583
010010209004,2171
010010210001,596
010010210002,1931
010010211001,1792
010010211002,569
010010211003,824
010030101001,299
010030101002,1839
010030101003,1295
010030102001,1476
010030102002,1682
010030103001,2988
010030103002,3160
010030103003,2136
010030104001,1331
010030104002,985
010030104003,2865
010030105001,1625
010030105002,1208
010030105003,1536
010030105004,1094
010030106001,1757
010030106002,724
010030106003,1249
010030107011,4586
010030107012,2223
010030107013,1104
010030107014,843
010030107031,10767
010030107032,9195
010030107041,2046
010030107042,4410
010030107051,5274
010030107052,2132
010030107053,1938
010030108001,1524
010030108002,2499
010030108003,2833
010030109031,1284
010030109032,2951
010030109033,2000
010030109041,2388
010030109042,1800
010030109043,2417
010030109051,3259
010030109052,3310
010030109053,1747
010030109061,2407
010030109062,1743
010030109063,1038
010030110001,1914
010030110002,2730
010030111011,4254
010030111012,2712
010030111013,4836
010030111021,2394
010030111022,2509
010030112011,3387
010030112012,1704
010030112021,2382
010030112022,907
010030112023,1829
010030112024,879
010030113001,1009
010030113002,1693
010030113003,1149
010030113004,1418
010030114011,3158
010030114012,1242
010030114013,1823
010030114014,3827
010030114015,1707
010030114031,3775
010030114032,3405
010030114033,3989
010030114051,2737
010030114052,1887
010030114061,824
010030114062,394
010030114063,1922
010030114071,1623
010030114072,1080
010030114073,2302
010030114081,558
010030115011,3746
010030115012,1074
010030115013,2111
010030115021,5922
010030115022,1507
010030115023,3149
010030115024,2379
010030116011,1431
010030116012,2342
010030116013,869
010030116014,1231
010030116021,1730
010030116022,1499
010030116023,866
010030116024,2048
010039900000,1000
010059501001,158
010059501002,1281
010059501003,1652
010059502001,984
010059502002,2039
010059502003,926
010059503001,626
010059503002,972
010059504001,799
010059504002,1988
010059504003,1030
010059505001,837
010059505002,947
010059505003,1501
010059506001,713
010059506002,1247
010059507001,640
010059507002,881
010059508001,912
010059508002,1347
010059509001,1031
010059509002,1635
010059509003,1215
010070100011,1719
010070100012,523
010070100021,2278
010070100022,1298
010070100023,2118
010070100031,785
010070100032,843
010070100033,1952
010070100034,1342
010070100041,720
010070100042,2209
010070100043,1481
010070100044,3246
010070100045,606
010070100046,1373
010090501011,1179
010090501012,1376
010090501013,2518
010090501014,963
010090501015,1558
010090501021,1464
010090501022,2494
010090501023,1223
010090501024,1927
010090502001,1829
010090502002,2420
010090503001,1288
010090503002,1323
010090503003,1185
010090503004,1176
010090504001,743
010090504002,1242
010090504003,920
010090504004,963
010090505001,1161
010090505002,1794
010090505003,1842
010090505004,965
010090505005,2078
010090506011,3489
010090506012,779
010090506021,1222
010090506022,2326
010090506023,792
010090506024,3018
010090506025,1790
010090507001,2488
010090507002,2012
010090507003,2415
010090507004,1719
010119521001,1579
010119522001,1442
010119522002,2465
010119522003,1907
010119525001,1066
010119525002,577
010119525003,1212
010139527001,1149
010139527002,781
010139528001,1278
010139529001,777
010139529002,1559
010139530001,563
010139530002,1002
010139531001,1139
010139531002,1196
010139531003,604
010139532001,503
010139532002,1129
010139532003,1358
010139532004,620
010139533001,1025
010139533002,836
